Country,Year,Area,Location,Activity,Sex,Age,Injury,Fatal_Y_N,Species,Month
DOMINICAN REPUBLIC,2016,Altagracia Province,"Bavaro Beach, Punta Cana",Wading,F,0,Avulsion injury to lower leg,N,other,2
AUSTRALIA,2016,Queensland,Stradbroke Island,Walking,F,45,Foot nipped,N,other,2
AUSTRALIA,2016,New South Wales,Hams Beach,Windsurfing,M,40,"No injury, shark bit board",N,other,2
BRAZIL,2016,Balneário Camboriú,Estaleirinho beach,Swimming,M,41,Lacerations to scalp,N,Sandtiger shark,2
USA,2016,Hawaii,"Hanalei Bay, Kauai",Surfing,M,0,Lacerations to both hands,N,"Reef shark, 5'",1
USA,2016,Hawaii,"Hanalei Bay, Kauai, ",Surfing,F,15,No injury,N,other,1
USA,2016,Texas,Off Surfside,Spearfishing,M,0,"Bruised ribs & tail bone, speargun broken and wetsuit cut",N,Bull sharks x 2,1
USA,2016,Hawaii,"Wailea Beach, Maui",Paddle boarding,M,48,No injury,N,"Tiger shark, 14'",1
AUSTRALIA,2016,Queensland,"Happy Valley Beach, Caloundra",Surfing,M,0,Laceration to right foot,N,Wobbegong shark,1
AUSTRALIA,2016,Queensland,Heron Island,Wading,M,11,Laceration to right calf,N,Blacktip shark,1
AUSTRALIA,2016,Queensland,Miall Island,Spearfishing,M,31,Lacerations to arms & leg,N,3 m shark,1
SPAIN,2015,Grand Canary Island,"Arinaga Beach, Aguimes, Gran Canaria",Swimming,F,38,Lacerations to left forearm,N,"Silky shark, 6.5'",12
USA,2015,Hawaii,La'aloa Beach Park,Paddle boarding,M,71,"No injury, shark bit board",N,9' shark,12
AUSTRALIA,2015,New South Wales,Bondi Beach,Surfing,M,43,"No injury, shark leapt on surfboard",N,"Bronze whaler shark, 6'",12
BRAZIL,2015,Pernambuco,Fernano de Noronha,Scuba diving,M,32,Right hand & part of forearm removed,N,"Tiger shark, 1.5 m ",12
ARUBA,2015,other,Boat capsized,Sea disaster,M,58,FATAL,Y,other,12
BAHAMAS,2015,other,Off Andros Island,Lobster fishing,M,26,"Bitten on thigh, abdomen & hand",N,Bull shark,12
SOUTH AFRICA,2015,Eastern Cape Province,Mpande,Swimming / Wading,F,22,Lacerations to both hands and forearms,N,other,12
ECUADOR,2015,Galapagos Islands,"Punta Vicente Roca, Isabella Island",Snorkeling,M,55,Lacerations to left calf,N,Galapagos shark,11
USA,2015,Florida,"Playalinda Beach, Brevard County",Surfing,M,0,Right heel injured,N,other,11
USA,2015,Florida,"Palm Beach, Palm Beach County",Swimming,F,0,Leg injured,N,other,11
USA,2015,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Surfing,M,28,Lacerations to hand,N,"Spinner shark, 7'",11
AUSTRALIA,2015,New South Wales,East Ballina,Surfing,M,20,Injury to left thigh,N,"Bull shark, 2.8 to 3.1 m",11
USA,2015,Hawaii,"Kehena Beach, Hawaii",Swimming,M,54,Laceration to right ankle,N,other,11
USA,2015,Florida,"Cocoa Beach, Brevard  County",Wading,F,28,Injury to right ankle/calf & hand,N,3' to 5' shark,11
MOZAMBIQUE,2015,Inhambane Province,Maxixe,Fishing,M,19,"Arms severely injured, surgically amputated",N,other,11
AUSTRALIA,2015,Western Australia,Bald Island,Spearfishing,M,50,Minor injury,N,other,10
USA,2015,Hawaii,"Malaka, Oahu",Body boarding,M,10,"Lacerations & puncture wounds to right thigh, calf & ankle",N,other,10
SOUTH AFRICA,2015,Western Cape Province,Stil Bay,Surfing,M,42,"Lacerations to right calf, knee & hip",N,"White shark, 3 to 3.5m ",10
USA,2015,Florida,"Playalinda Beach, Brevard County",Surfing,M,21,Lacerations to left hand,N,5' shark,10
USA,2015,Florida,"Deerfield Beach, Broward County",Surfing,M,21,Left foot bitten,N,"Spinner shark, 5'",10
MOZAMBIQUE,2015,Inhambane Province,"Nahaduga, Inhambane Bay",Fishing for shrimp,F,35,FATAL,Y,other,10
USA,2015,Hawaii,"Lanikai Beach, Kailua, Oahu",Swimming,M,44,Severe injuries to lower legs. Foot later surgically amputated.,N,"Tiger shark, 7'",10
USA,2015,South Carolina,"Shipyard Beach Club, Hilton Head Island, Beaufort County",Boogie boarding,F,9,Laceration to forearm,N,other,10
USA,2015,Hawaii,"Leftovers, Oahu",Surfing,M,25,"Left leg severed below the knee, defense injuries to left hand",N,"Tiger shark, 13' ",10
MOZAMBIQUE,2015,Inhambane Province,"Maxixe, Inhambane Bay",Fishing,M,0,"Arm severely injured, surgically amputated",N,other,10
AUSTRALIA,2015,Western Australia,Pyramids Beach,Surfing,M,18,Foot injured,N,other,10
USA,2015,Florida,"Pepper Park Beach, St. Lucie County",Body boarding,M,22,2 lacerations to ankle,N,other,10
USA,2015,Texas,Galveston,Wading,M,13,Foot & hands bitten,N,4' to 5' shark,10
USA,2015,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14,Severe lacerations to left hand,N,"Blacktip shark, 4' to 5'",10
USA,2015,Florida,"Vilano Beach, St.  Johns County",Surfing,M,22,"Laceration to heel, puncture wounds to dorsum of foot",N,"Blacktip shark, 5' to 6'",9
AUSTRALIA,2015,Queensland,"Russel Island, Frankland Group",Snorkeling,F,7,Laceration to leg,N,other,9
USA,2015,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14,Minor injury to left ankle,N,juvenile shark,9
USA,2015,Hawaii,"Upolu Point, North Kohala, Big Island",Spearfishing,M,27,Severe laceration to left leg,N,"Tiger shark, 13'",9
USA,2015,Florida,"Fernandina Beach, Amelia Island, Nassau County",Wading,M,12,Significant injuries to leg,N,4' shark,9
USA,2015,Florida,"Vilano Beach, St.  Johns County",Photographing fish,M,16,Injury to right hand / wrist,N,other,9
USA,2015,Florida,"Big Talbot Island, Duval County",Swimming,M,0,Lacerations to calf,N,other,9
USA,2015,Florida,"Jacksonville Beach, Duval County",Surfing,M,20,Injury to right foot,N,other,9
AUSTRALIA,2015,New South Wales,North Shelly Beach,Surfing,M,42,Minor laceration to hand,N,6' shark,9
USA,2015,California,"El Pescador Beach, Los Angeles County",Stand-Up Paddleboarding,F,50,"No injury, shark struck board, tossing her into the sea",N,"White shark, 11' to 12'",9
AUSTRALIA,2015,New South Wales,Hallidays Point,Surf-skiing,M,62,Inuries to lower left leg & ankle,N,"White shark, 2.5 m",9
USA,2015,South Carolina,"Myrtle Beach, Horry County",other,M,0,Right foot bitten,N,4' shark?,9
THAILAND,2015,Phuket,Karon Beach,Wading,F,37,Left foot & ankle bitten,N,small shark,9
FIJI,2015,other,other,Spearfishing,M,0,Leg bitten,N,Tiger shark,9
USA,2015,California,"Morro Strand State Beach, San Luis Obispo County",Surfing,F,54,"No injury, surfboard bitten",N,"White shark, 11' to 12'",8
USA,2015,California,"Morro Bay, San Luis Obispo County",Surfing,M,21,"No injury, shark struk sufer's leg and his board",N,"White shark, 10' to 12' ",8
AUSTRALIA,2015,New South Wales,Lighthouse Beach,Surfing,M,38,Severe laceration to left buttock & thigh,N,other,8
USA,2015,South Carolina,"Murrells Inlet, Georgetown County",Surfing,M,15,"Injuries to left calf, arm and hand",N,4' shark,8
USA,2015,Florida,"Jacksonville Beach, Duval County",Walking,F,10,Lacerations to right leg,N,3' shark,8
AUSTRALIA,2015,New South Wales,Evans Head,Surfing,M,52,"Lacerations and puncture wounds to hip, thigh, arm and hand",N,White shark,7
COSTA RICA,2015,Guanacaste,Playa Grande,Surfing,M,47,Minor inuries to toes,N,other,7
USA,2015,Florida,"Daytona Beach, Volusia County",Surfing,M,25,Minor injury to sole of foot,N,"Blacktip or spinner shark, 4'",7
AUSTRALIA,2015,Tasmania,"Lachan Island, Mercury Passage",Scallop diving on hookah,M,46,FATAL,Y,"White shark, 3.9 to 4.2 m",7
AUSTRALIA,2015,Victoria,Tyrendarra Beach near Portland,Surfing,M,40,Left hand bitten,N,"Bronze whaler shark, 1.5m",7
REUNION,2015,other,St. Leu,Surfing,M,45,Arm bitten,N,"Bull shark, 2m",7
SOUTH AFRICA,2015,Eastern Cape Province,Jeffrey's Bay,Surfing,M,34,No injury,N,White shark,7
USA,2015,California,"Huntington Beach, Orange County",Surfing,M,38,"No injury, shark bumped & damaged board",N,"White shark, 7'",7
BAHAMAS,2015,Grand Bahama Island,"Port Lucaya, Freeport",Spearfishing,F,23,Lacerations to lower leg & ankle,N,6' shark,7
USA,2015,North Carolina,"Off Surf City, Pender County",other,M,32,Lacerations to right hand & forearm,N,other,7
AUSTRALIA,2015,New South Wales,Lennox Head,Surfing,M,52,"No injury, shark bit surfboard",N,White shark,7
AUSTRALIA,2015,New South Wales,East Ballina,Body boarding ,M,32,Significant injuries to lower legs,N,White shark,7
USA,2015,North Carolina,"Ocracoke, Lifeguard Beach, National Park Service, Hyde County",Swimming,M,68,"Injuries to torso, hip, lower leg & hands",N,6' to 7' shark,7
AUSTRALIA,2015,New South Wales,"Flat Rock, Yamba",Surfing,M,0,Hand bitten,N,other,6
USA,2015,South Carolina,"Isle of Palms County Park, Isle of Palms, Charleston County",Playing in the water,M,12,Shallow lacerations & puncture to lateral left leg,N,4' to 5' shark,6
USA,2015,North Carolina,"Rodanthe, Dare County",Swimming,M,18,"Injuries to right calf, buttock and both hands",N,Bull shark,6
SOUTH AFRICA,2015,Western Cape Province,Buffels Bay near Knysna,Body Boarding,M,19,"Right leg severed, multiple lacerations to left leg",N,White shark,6
SOUTH AFRICA,2015,Western Cape Province,"Lookout Beach, Plettenberg Bay",Surfing,M,23,Multiple lacerations to torso & leg,N,"White shark, 2m to 3 m",6
USA,2015,South Carolina,"South Beach, Hunting Island State Park, Beaufort County",Standing,M,43,Puncture wounds to foot,N,4' shark,6
USA,2015,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Body surfing?,M,47,Multiple lacerations to back,N,other,6
USA,2015,North Carolina,Surf City,Swimming,M,6,Minor injury to foot,N,Sandtiger shark,6
USA,2015,South Carolina,"St. Helena Island, Beaufort County",Standing,M,9,Minor injury to calf ,N,small shark,6
PUERTO RICO,2015,other,Off Cabo Rojo,Spearfishing,M,36,Injury to hand,N,other,6
USA,2015,Florida,Daytona Beach Shores,Swimming,M,10,Minor injury to calf ,N,other,6
USA,2015,North Carolina,"Oak Island, Brunswick County",Wading,M,16,Arm amputated below shoulder,N,Bull shark,6
USA,2015,North Carolina,"Oak Island, Brunswick County",Wading,F,12,Left arm amputated at elbow & severe injury to leg,N,Bull shark,6
USA,2015,California,Off San Diego,other,F,0,Severe laceration to leg,N,Mako shark,6
USA,2015,North Carolina,"Ocean Isle, Brunswick County",Boogie boarding,F,13,Minor lacerations to foot,N,4' shark,6
USA,2015,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",Playing,M,11,Lacerations to right calf,N,"Bull shark, 5'",6
USA,2015,Florida,Fort Lauderdale,Attempting to rescue a shark,F,17,Puncture wound to finger,N,small nurse shark,6
REUNION,2015,Le Port,Folette,Surfing,M,47,Left forearm bitten,N,"Bull shark, 2.5 m",6
USA,2015,Florida,"Cocoa Beach, Brevard  County",Standing,F,14,Left foot bitten,N,other,5
USA,2015,Florida,"New Smyrna Beach, Volusia County",Wading,F,19,Minor lacerations to dorsum of right foot,N,other,5
FRENCH POLYNESIA,2015,Rangiroa,Avatoru Pass,Spearfishing,M,19,Lacerations to right forearm,N,1m to 1.2 m shark,5
USA,2015,Florida,"Cocoa Beach, Brevard  County",Swimming,F,13,"Puncture wounds to lower left leg and ankle, shallow lacerations to foot, deep laceration to Achilles tendon",N,other,5
USA,2015,Florida,"New Smyrna Beach, Volusia County",Surfing,M,18,2 puncture wounds to  dorsum of left foot,N,5' shark,5
USA,2015,South Carolina,Sullivan's Island,other,M,30,Laceration to foot ,N,6' shark,5
NEW CALEDONIA,2015,other,Kouare ,Snorkeling,M,50,FATAL,Y,"Bull shark, 3.5 m",5
USA,2015,Florida,"Cocoa Beach, Brevard  County",Swimming,M,0,"Lacerations to lower left leg, ankle & foot",N,other,5
AUSTRALIA,2015,New South Wales,Saltwater Beach,Surfing,M,0,Injuries to left arm & right hand,N,White shark,5
SOUTH AFRICA,2015,Eastern Cape Province,Port St. John's,Diving,M,29,"Injuries to leg, left arm & both hands",N,"White shark, 3.5 m",5
USA,2015,Hawaii,Kanahena Cove ,Snorkeling,F,65,FATAL,Y,other,4
USA,2015,Florida,"Resident's Beach, Marco Island",Wading,M,63,Lacerations to left calf,N,3- to 4-foot shark,4
AUSTRALIA,2015,South Australia,Fishery Bay,Surfing,M,26,Leg severed at mid-thigh,N,"White shark, 6 m",4
AUSTRALIA,2015,New South Wales,"Belongil Beach, Byron Bay",Surf skiing ,M,71,"No injury, knocked off ski",N,"White shark, 3 m",4
USA,2015,Florida,"Florida Keys, Monroe County",Photographing the shark,M,48,Lacerations to shoulder and left bicep,N,"Blue shark, 8 to 9 feet",4
REUNION,2015,Saint-Gilles-les-Bains,Cap Homard,Surfing,M,13,FATAL,Y,Bull shark,4
AUSTRALIA,2015,New South Wales,McKenzies Beach,Paddle boarding,M,0,Ankle injured,N,other,4
USA,2015,Florida,"3 miles off Jupiter, Palm Beach County",Spearfishing,M,70,Injuries to head & torso,N,Bull shark,4
EGYPT,2015,other,Marsa Alam,Swimming,M,52,FATAL,Y,Mako shark,3
USA,2015,Hawaii,Hapuna Beach,Standing / Snorkeling,M,58,Lacerations to left forearm. Lacerations to left hand and thigh,N,"Tiger shark, 8 to 12 feet",3
FRENCH POLYNESIA,2015,Bora Bora,Anau,Hand feeding sharks,M,9,Hand bitten,N,Blacktip shark,3
FRENCH POLYNESIA,2015,Central Tuamotu,"Tupapati, Hikueru Atoll",Sitting in the water,M,18 months,Thigh bitten,N,Blacktip Reef shark ,3
REUNION,2015,d’Étang-Salé,Ravine Mula,Swimming,F,22,FATAL,Y,"Tiger shark, 3.5 m",2
AUSTRALIA,2015,New South Wales,Shelly Beach,Surfing,M,41,FATAL,Y,3.5 to 4 m shark,2
AUSTRALIA,2015,New South Wales,"Seven Mile Beach, Byron Bay",Surfing,M,35,Laceration & puncture wounds to right flank & hip,N,2 m to  3 m shark,2
AUSTRALIA,2015,New South Wales,Mereweather Beach,Bodysurfing,M,0,5 minor puncture wounds to lower left leg,N,1.8 m shark,2
AUSTRALIA,2015,New South Wales,Flat Rock,Surfing,M,0,"No injury, surfboard dented",N,other,1
SOUTH AFRICA,2015,Eastern Cape Province,Nahoon Beach,Floating,M,24,Foot bitten,N,other,1
AUSTRALIA,2015,New South Wales,"Mollymook Beach, Bannister Head",Filming,M,17,Bitten on hand & wrist,N,1.5 m shark,1
BAHAMAS,2015,Abaco Islands,"Tahiti Beach, Elbow Cay",Snorkeling,F,34,Severe bite to right flank,N,White shark or oceanic whitetip shark,1
SOUTH AFRICA,2015,Eastern Cape Province,Chintsa East Beach,Surfing,M,15,"Lacerations to lower left leg, puncture wounds to sole of left foot",N,"Raggedtooth shark, 1.3 m",1
USA,2015,Florida,"Windsor Beach, Indian River County",other,M,12,Leg bitten,N,"""A small shark""",1
AUSTRALIA,2014,New South Wales,Bherwerre Beach,Surfing,UNKNOWN,0,Lacerations to both feet,N,2 m shark,12
AUSTRALIA,2014,Western Australia,Three Stripes near Cheynes Beach,Spearfishing,M,17,FATAL,Y,"White shark, 4 to 5 m",12
USA,2014,California,"Montaña de Oro State Park, San Luis Obispo County ",Surfing,M,50,Injury to hip/leg,N,"White shark, 8' to 10'",12
JAPAN,2014,other,other,Diving / Filming,M,0,"No injury, shark snagged its teeth in diver's suit",N,Goblin shark,12
AUSTRALIA,2014,Queensland,Rudder Reef,Spearfishing,M,17,FATAL,Y,Tiger shark,12
AUSTRALIA,2014,Western Australia,"Pyramids Beach, Port Bouvard",Surfing,M,13,Minor injuries to right leg,N,other,11
USA,2014,Florida,"Indian Harbor Beach, Brevard County",Surfing,M,44,Laceration to left hand,N,2' shark,11
USA,2014,Hawaii,"Airplane Beach, Lahina, West Maui",Snorkeling,M,53,Laceration to left upper leg,N,1.5 m shark,11
AUSTRALIA,2014,New South Wales,Moonee Beach,Surfing,M,0,Minor injury to lower leg and foot,N,other,11
USA,2014,Florida,"Fort Pierce Inlet State Park, St. Lucie County",Surfing,M,18,Minor injuries to hand & arm ,N,other,11
USA,2014,Hawaii,"North Kohala, Hawaii County",Surfing,F,34,Lacerations to fingers,N,"Tiger shark, 12'",10
USA,2014,Hawaii,"Kihei, Maui",Stand-Up Paddleboarding,F,0,"No injury, paddleboard bitten",N,Tiger shark,10
USA,2014,Hawaii,"Kahului, Maui",Stand-Up Paddleboarding,M,0,"No injury, paddleboard bitten",N,other,10
USA,2014,Hawaii,"Maalaea, South Maui",Surfing,M,0,"No injury, surfboard bitten",N,12' to 14' shark,10
AUSTRALIA,2014,New South Wales,Avoca Beach,Surfing,F,13,"Lacerations to left calf & ankle, puncture wounds to left foot",N,1 m shark,10
USA,2014,South Carolina,"Hilton Head Island, Beaufort County",Standing in inner tube,F,7,Lacerations to left foot,N,"Bull shark, 3' to 4'",10
USA,2014,Florida,"Melbourne Beach, Brevard County",Body surfing or Boogie boarding,F,0,Laceration to right hand/wrist,N,other,10
USA,2014,Florida,"New Smyrna Beach, Volusia County",Surfing,M,29,Foot bitten,N,Blacktip shark,10
USA,2014,Florida,"Cherie Down Park, Brevard County",Fishing,F,40,Thigh bitten,N,other,10
USA,2014,Florida,"New Smyrna Beach, Volusia County",Surfing,M,15,Foot bitten,N,Blacktip shark,10
USA,2014,California,"Walls Beach, Vandenberg AFB, Santa Barbara County",Surfing,M,28,Lacerations to knee,N,8' to 10' shark,10
AUSTRALIA,2014,Western Australia,"Kelpids Beach, Wylie Bay, Esperance",Surfing,M,23,"Left arm & right hand severed, lacerations to both legs",N,"2 white shark: 13' & 9""8""",10
USA,2014,Florida,"New Smyrna Beach, Volusia County",Surfing,M,0,Minor injury to left foot,N,other,9
FRENCH POLYNESIA,2014,Moorea,Tiahura Lagoon,Feeding fish,F,36,Thumb & finger nipped,N,Blacktip shark,9
AUSTRALIA,2014,New South Wales,"Clarkes Beach, Byron Bay",Swimming,M,50,FATAL,Y,7' shark,9
USA,2014,Alabama,"Katrina Cut, Dauphin Island, Mobile County",Fishing ,M,43,Leg bitten,N,Bull shark,9
SPAIN,2014,Catalonia,Salou,Playing with an air mattress,M,16,Lacerations to right hand,N,other,9
USA,2014,Florida,"New Smyrna Beach, Volusia County",Body surfing,F,13,Injury to left calf,N,Spinner shark,8
USA,2014,Florida,"Ponce Inlet, Volusia County",Surfing,M,17,Lacerations to shin,N,Spinner shark or blacktip shark,8
SPAIN,2014,Alicante,Benidorm,Swimming,F,30s,Minor lacerations to posterior lower leg,N,small shark,8
USA,2014,North Carolina,"Figure Eight Island,  New Hanover County",Surfing,M,29,Laceration to left hand,N,4' to 6' shark,8
USA,2014,South Carolina,"Surfside Beach, Horry  County",Standing,F,0,Heel bitten,N,other,8
USA,2014,North Carolina,"Off Masonboro Island, New Hanover County",Kite boarding,UNKNOWN,0,Laceration to left foot,N,4' shark,8
AUSTRALIA,2014,Western Australia,Gnaraloo,Spearfishing,M,31,Lacerations to face and neck,N,reef shark,8
USA,2014,Florida,"3 to 4 miles west of Indian Pass, Gulf County",Standing,M,0,Puncture wounds and lacerations to left thigh and knee,N," Bull shark, 8'",8
USA,2014,Florida,"Hallandale Beach, Broward County",other,M,26,Puncture wounds & lacerations to foot,N,other,8
BAHAMAS,2014,other,other,Spearfishing,M,0,Puncture wounds to right foot and ankle,N,"Bull shark, 9' to 10'",8
USA,2014,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",Swimming,F,10,Puncture wounds to right foot & ankle,N,other,8
USA,2014,Louisiana,"Lake Ponchartain off Southshore Harbor, New Orleans",Swimming,M,7,Minor lacerations to left heel and big toe,N," Bull shark, 5'",8
USA,2014,South Carolina,"Folly Beach, Charleston County",Boogie boarding,M,10,Lacerations to right leg & foot,N,4' tp 5' shark,8
USA,2014,Florida,"Cocoa Beach, Brevard  County",Swimming,F,45,Lacerations to  foot,N,other,8
USA,2014,Florida,"South of Cocoa Beach, Brevard County",Surfing,M,50s,Foot bitten,N,other,8
USA,2014,Florida,"Table Beach, Brevard County",Boogie boarding,M,8,Laceration to ankle,N,other,8
SOUTH AFRICA,2014,Western Cape Province,Muizenberg,Surfing,M,20,Lower limbs & thigh bitten,N,White shark,8
USA,2014,North Carolina,"Sunset Beach, Brunswick County",Swimming,M,Teen,Left foot bitten,N,Possibly juvenile tiger shark,7
REUNION,2014,Saint-Leu,other,Surfing,M,51,Lacerations to right wrist & calf,N,1.8 metre shark,7
USA,2014,Florida,"Indialantic, Brevard County",Standing,M,8,Lacerations to right knee,N,other,7
SPAIN,2014,Canary Islands,"Teresita, Santa Cruz, Tenerife",Wading,UNKNOWN,0,Minor injury,N,Angel shark,7
USA,2014,Hawaii,"Paia Bay, Maui",Swimming,M,61,Lacerations to left foot,N,6' to 8' shark,7
USA,2014,Florida,Okaloosa Island,Swimming,M,39,Puncture wounds to foot,N,4' shark,7
USA,2014,North Carolina,"Masonboro Island, New Hanover County",Body surfing,M,0,Lacerations to hand and wrist,N,other,7
USA,2014,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14,Lacerations to foot,N,other,7
USA,2014,California,"Oceano Dunes State Beach, San Luis Obispo County",Surfing,M,0,"No injury, surboard bitten",N,other,7
USA,2014,South Carolina,"Isle of Palms, Charleston County",Body surfing,M,19,Right hand bitten,N,4' to 5' shark,7
